,,EB,ER,EO,pricing_location,X
AUSTS3F,1950-01-02,,,,LDN,
AUSTS3F,1950-01-03,,,,LDN,
AUSTS3F,1950-01-04,,,,LDN,
AUSTS3F,1950-01-05,,,,LDN,
AUSTS3F,1950-01-06,,,,LDN,
AUSTS3F,1950-01-09,,,,LDN,
AUSTS3F,1950-01-10,,,,LDN,
AUSTS3F,1950-01-11,,,,LDN,
AUSTS3F,1950-01-12,,,,LDN,
AUSTS3F,1950-01-13,,,,LDN,
AUSTS3F,1950-01-16,,,,LDN,
AUSTS3F,1950-01-17,,,,LDN,
AUSTS3F,1950-01-18,,,,LDN,
AUSTS3F,1950-01-19,,,,LDN,
AUSTS3F,1950-01-20,,,,LDN,
AUSTS3F,1950-01-23,,,,LDN,
AUSTS3F,1950-01-24,,,,LDN,
AUSTS3F,1950-01-25,,,,LDN,
AUSTS3F,1950-01-26,,,,LDN,
AUSTS3F,1950-01-27,,,,LDN,
AUSTS3F,1950-01-30,,,,LDN,
AUSTS3F,1950-01-31,,,,LDN,
AUSTS3F,1950-02-01,,,,LDN,
AUSTS3F,1950-02-02,,,,LDN,
AUSTS3F,1950-02-03,,,,LDN,
AUSTS3F,1950-02-06,,,,LDN,
AUSTS3F,1950-02-07,,,,LDN,
AUSTS3F,1950-02-08,,,,LDN,
AUSTS3F,1950-02-09,,,,LDN,
AUSTS3F,1950-02-10,,,,LDN,
AUSTS3F,1950-02-13,,,,LDN,
AUSTS3F,1950-02-14,,,,LDN,
AUSTS3F,1950-02-15,,,,LDN,
AUSTS3F,1950-02-16,,,,LDN,
AUSTS3F,1950-02-17,,,,LDN,
AUSTS3F,1950-02-20,,,,LDN,
AUSTS3F,1950-02-21,,,,LDN,
AUSTS3F,1950-02-22,,,,LDN,
AUSTS3F,1950-02-23,,,,LDN,
AUSTS3F,1950-02-24,,,,LDN,
AUSTS3F,1950-02-27,,,,LDN,
AUSTS3F,1950-02-28,,,,LDN,
AUSTS3F,1950-03-01,,,,LDN,
AUSTS3F,1950-03-02,,,,LDN,
AUSTS3F,1950-03-03,,,,LDN,
AUSTS3F,1950-03-06,,,,LDN,
AUSTS3F,1950-03-07,,,,LDN,
AUSTS3F,1950-03-08,,,,LDN,
AUSTS3F,1950-03-09,,,,LDN,
AUSTS3F,1950-03-10,,,,LDN,
AUSTS3F,1950-03-13,,,,LDN,
AUSTS3F,1950-03-14,,,,LDN,
AUSTS3F,1950-03-15,,,,LDN,
AUSTS3F,1950-03-16,,,,LDN,
AUSTS3F,1950-03-17,,,,LDN,
AUSTS3F,1950-03-20,,,,LDN,
AUSTS3F,1950-03-21,,,,LDN,
AUSTS3F,1950-03-22,,,,LDN,
AUSTS3F,1950-03-23,,,,LDN,
AUSTS3F,1950-03-24,,,,LDN,
AUSTS3F,1950-03-27,,,,LDN,
AUSTS3F,1950-03-28,,,,LDN,
AUSTS3F,1950-03-29,,,,LDN,
AUSTS3F,1950-03-30,,,,LDN,
AUSTS3F,1950-03-31,,,,LDN,
AUSTS3F,1950-04-03,,,,LDN,
AUSTS3F,1950-04-04,,,,LDN,
AUSTS3F,1950-04-05,,,,LDN,
AUSTS3F,1950-04-06,,,,LDN,
AUSTS3F,1950-04-07,,,,LDN,
AUSTS3F,1950-04-10,,,,LDN,
AUSTS3F,1950-04-11,,,,LDN,
AUSTS3F,1950-04-12,,,,LDN,
AUSTS3F,1950-04-13,,,,LDN,
